Gen_Index,Fuel_Cost,Pmin,start_cost,Can_Spin,Can_NonSpin,Min_Up,Min_Down,No_Load_Cost
1,26.70897929,0.4,1610,1,0,5,4,1
2,26.70897929,0.4,1100,1,0,2,1,1
3,26.70897929,0.4,4400,1,0,5,4,1
4,24.86203361,0.4,21900,1,0,6,6,1
8,32.46240282,0.4,11600,1,0,5,4,1
9,26.8139642,0.4,7900,1,0,6,6,1
10,21.70291473,0.4,1100,1,0,6,6,1
12,133.0262343,0.25,400,1,0,2,1,1
13,22.70655702,0.4,11000,1,0,6,6,1
14,28.83917945,0.4,8000,1,0,6,6,1
15,21.70291473,0.4,5380,1,0,6,6,1
16,21.70291473,0.4,4500,1,0,6,6,1
17,30.46096362,0.4,26000,1,0,5,4,1
1574,20.89137443,0.4,16000,1,0,6,6,1
1575,20.89137443,0.4,16000,1,0,6,6,1
1576,0,0,0,1,0,10,8,1
1579,0,0,0,1,0,10,8,1
1580,0,0,0,1,0,10,8,1
1582,0,0,0,1,0,10,8,1
1583,0,0,0,1,0,20,8,1
1586,0,0,0,1,0,20,8,1
1566,5.229563839,0.9,591000,1,0,20,20,1
1567,5.229563839,0.9,312500,1,0,20,20,1
1616,62.32680556,0.4,2300,1,0,2,1,1
1617,46.94115538,0.4,700,1,0,2,1,1
1618,46.94115538,0.4,425,1,0,2,1,1
1619,46.94115538,0.4,2300,1,0,2,1,1
1620,46.94115538,0.4,300,1,0,2,1,1
1621,46.94115538,0.4,1100,1,0,2,1,1
1622,46.94115538,0.4,1050,1,0,2,1,1
1623,0,0,0,1,0,10,8,1
1624,49.30792961,0.4,4425,1,0,2,1,1
1625,49.30792961,0.4,3000,1,0,2,1,1
1626,29.1850897,0.4,12000,1,0,5,4,1
1627,29.1850897,0.4,54500,1,0,5,4,1
1628,29.1850897,0.4,12000,1,0,5,4,1
1629,29.1850897,0.4,54100,1,0,5,4,1
1631,29.1850897,0.4,12100,1,0,5,4,1
1633,29.1850897,0.4,9400,1,0,5,4,1
1634,29.1850897,0.4,9400,1,0,5,4,1
1635,29.1850897,0.4,9400,1,0,5,4,1
1849,10000,0,0,0,0,0,0,0
