,congestion price ($/MW),flow (MW)
SOUTH_to_NORTH-1,0,133.97
SOUTH_to_NORTH-2,0,164.93
SOUTH_to_NORTH-3,0,297.66
SOUTH_to_NORTH-4,0,394.14
SOUTH_to_NORTH-5,0,422.27
SOUTH_to_NORTH-6,0,363.62
SOUTH_to_NORTH-7,0,251.86
SOUTH_to_NORTH-8,0,379.08
SOUTH_to_NORTH-9,0,384.72
SOUTH_to_NORTH-10,0,500.00
SOUTH_to_NORTH-11,0,455.79
SOUTH_to_NORTH-12,-4.89,500.00
SOUTH_to_NORTH-13,-52.84,500.00
SOUTH_to_NORTH-14,-53.19,500.00
SOUTH_to_NORTH-15,-53.19,500.00
SOUTH_to_NORTH-16,-53.19,500.00
SOUTH_to_NORTH-17,-53.19,500.00
SOUTH_to_NORTH-18,-53.19,500.00
SOUTH_to_NORTH-19,-53.19,500.00
SOUTH_to_NORTH-20,-53.19,500.00
SOUTH_to_NORTH-21,-53.19,500.00
SOUTH_to_NORTH-22,-53.19,500.00
SOUTH_to_NORTH-23,-4.89,500.00
SOUTH_to_NORTH-24,0,430.29
SOUTH_to_NORTH-25,0,342.08
SOUTH_to_NORTH-26,0,352.80
SOUTH_to_NORTH-27,0,356.58
SOUTH_to_NORTH-28,0,359.80
SOUTH_to_NORTH-29,0,366.61
SOUTH_to_NORTH-30,-24.00,0
SOUTH_to_NORTH-31,0,312.64
SOUTH_to_NORTH-32,0,450.18
SOUTH_to_NORTH-33,0,475.66
SOUTH_to_NORTH-34,-18.89,500.00
SOUTH_to_NORTH-35,0,416.83
SOUTH_to_NORTH-36,-3.19,500.00
SOUTH_to_NORTH-37,-16.71,500.00
SOUTH_to_NORTH-38,-53.19,500.00
SOUTH_to_NORTH-39,-53.19,500.00
SOUTH_to_NORTH-40,-53.19,500.00
SOUTH_to_NORTH-41,-77.19,500.00
SOUTH_to_NORTH-42,-5.19,500.00
SOUTH_to_NORTH-43,-77.19,500.00
SOUTH_to_NORTH-44,-53.19,500.00
SOUTH_to_NORTH-45,-53.19,500.00
SOUTH_to_NORTH-46,-53.19,500.00
SOUTH_to_NORTH-47,-3.19,500.00
SOUTH_to_NORTH-48,0,408.02
